# DAQ fotoacústico — ventana capturada
# fecha=20260624_200320  Fs_MHz=54.0  Ts_ns=18.519  bits=12  LSB_mV=2.4414  offset_code=2048
muestra,t_ns,t_us,codigo,mV,prom_mV
165,3055.6,3.0556,2028,-48.828,-43.030
166,3074.1,3.0741,2033,-36.621,-41.962
167,3092.6,3.0926,2031,-41.504,-43.411
168,3111.1,3.1111,2028,-48.828,-42.343
169,3129.6,3.1296,2031,-41.504,-41.199
170,3148.1,3.1481,2031,-41.504,-43.640
171,3166.7,3.1667,2030,-43.945,-41.809
172,3185.2,3.1852,2034,-34.180,-41.809
173,3203.7,3.2037,2030,-43.945,-41.885
174,3222.2,3.2222,2029,-46.387,-43.182
175,3240.7,3.2407,2028,-48.828,-42.648
176,3259.3,3.2593,2035,-31.738,-41.885
177,3277.8,3.2778,2032,-39.062,-41.733
178,3296.3,3.2963,2025,-56.152,-42.877
179,3314.8,3.3148,2034,-34.180,-43.335
180,3333.3,3.3333,2034,-34.180,-43.793
181,3351.9,3.3519,2029,-46.387,-42.801
182,3370.4,3.3704,2027,-51.270,-42.572
183,3388.9,3.3889,2032,-39.062,-43.335
184,3407.4,3.4074,2032,-39.062,-41.656
185,3425.9,3.4259,2033,-36.621,-41.580
186,3444.4,3.4444,2032,-39.062,-43.106
187,3463.0,3.4630,2029,-46.387,-45.090
188,3481.5,3.4815,2033,-36.621,-42.953
189,3500.0,3.5000,2028,-48.828,-42.038
190,3518.5,3.5185,2027,-51.270,-42.801
191,3537.0,3.5370,2034,-34.180,-43.488
192,3555.6,3.5556,2031,-41.504,-44.708
193,3574.1,3.5741,2026,-53.711,-44.556
194,3592.6,3.5926,2030,-43.945,-46.387
195,3611.1,3.6111,2030,-43.945,-47.226
196,3629.6,3.6296,2027,-51.270,-45.929
197,3648.1,3.6481,2030,-43.945,-46.387
198,3666.7,3.6667,2026,-53.711,-46.082
199,3685.2,3.6852,2027,-51.270,-45.090
200,3703.7,3.7037,2027,-51.270,-46.921
201,3722.2,3.7222,2031,-41.504,-45.547
202,3740.7,3.7407,2028,-48.828,-46.234
203,3759.3,3.7593,2027,-51.270,-45.776
204,3777.8,3.7778,2030,-43.945,-45.471
205,3796.3,3.7963,2027,-51.270,-47.455
206,3814.8,3.8148,2032,-39.062,-45.242
207,3833.3,3.8333,2026,-53.711,-46.234
208,3851.9,3.8519,2026,-53.711,-46.310
209,3870.4,3.8704,2026,-53.711,-44.708
210,3888.9,3.8889,2032,-39.062,-45.547
211,3907.4,3.9074,2030,-43.945,-45.853
212,3925.9,3.9259,2025,-56.152,-45.471
213,3944.4,3.9444,2030,-43.945,-44.556
214,3963.0,3.9630,2030,-43.945,-44.403
215,3981.5,3.9815,2030,-43.945,-45.776
216,4000.0,4.0000,2027,-51.270,-46.158
217,4018.5,4.0185,2030,-43.945,-44.632
218,4037.0,4.0370,2031,-41.504,-43.716
219,4055.6,4.0556,2029,-46.387,-44.174
220,4074.1,4.0741,2030,-43.945,-44.556
221,4092.6,4.0926,2028,-48.828,-44.403
222,4111.1,4.1111,2028,-48.828,-41.885
223,4129.6,4.1296,2030,-43.945,-44.785
224,4148.1,4.1481,2030,-43.945,-44.250
225,4166.7,4.1667,2028,-48.828,-43.945
226,4185.2,4.1852,2029,-46.387,-44.098
227,4203.7,4.2037,2028,-48.828,-45.090
228,4222.2,4.2222,2030,-43.945,-43.564
229,4240.7,4.2407,2032,-39.062,-44.327
230,4259.3,4.2593,2030,-43.945,-43.564
231,4277.8,4.2778,2028,-48.828,-41.962
232,4296.3,4.2963,2029,-46.387,-43.335
233,4314.8,4.3148,2033,-36.621,-43.564
234,4333.3,4.3333,2029,-46.387,-41.199
235,4351.9,4.3519,2031,-41.504,-42.572
236,4370.4,4.3704,2032,-39.062,-42.877
237,4388.9,4.3889,2032,-39.062,-43.793
238,4407.4,4.4074,2029,-46.387,-43.640
239,4425.9,4.4259,2030,-43.945,-42.114
240,4444.4,4.4444,2031,-41.504,-41.122
241,4463.0,4.4630,2029,-46.387,-42.572
242,4481.5,4.4815,2029,-46.387,-44.098
243,4500.0,4.5000,2027,-51.270,-40.359
244,4518.5,4.5185,2035,-31.738,-42.343
245,4537.0,4.5370,2035,-31.738,-45.013
246,4555.6,4.5556,2026,-53.711,-43.106
